document	label
작가님 작화 이상하게 하지마세요 ㅠㅠ	0
밤 그림체 넘나 조아여,	0
처음부터 쭉 정주행 다시 돌리다가 3부 초반 보고 있는 중인데 작화가 왜캐 별로가 됐냐 3류 로맨스 웹툰 느낌나네	0
미친 그림체봐	0
엄마 얼굴 묘사를 이상하게 하니까 보기가 싫어진다. 표정 을 못 그리나 보군...	0
중1을 어른처럼 그려놓음 그림체 별로네	0
작화 수정한 거 너무 예쁘네	0
작화 완전 내 스타일 ❣️	0
차성태 웨이브 가르마 치면 나오는 머리 스타일에 눈섭 짙고 그런 느낌 상상했는데 뱀 같은 인상으로 나왔네	0
이야 객잔 배경그림 수준급인거 봐라	0
오늘 처음보는데 작화도 개쩔고 스토리도 개쩐다..	0
음 머리가 너무 큰 것 아닌가요...??ㅠㅠ	0
옛날에 많이 보던 스크린톤 배경들을 복원(?)해서 그대로 그리시다니 ㅋㅋ	0
헐 그림체 뭐야..!?완전 내가 찾던 그림체인데..사랑합니다 동남 남쪽 남서 서 북서 북 북동 동쪽으로 절가겟슺니다	0
작화 진짜 지린다	0
와 다시보니깐 윤중혁 얼굴이랑 독자 피부톤이 다른거.... ㄷㄷ 사소한 디테일 ㄱㅅ합니다	0
진짜 신기한게 웹자친구 때는 캐릭터 인체 그림체가 좀 더 실사사람이랑 비슷한 느낌이였는데 공급구는 좀 더 캐릭터체같음	0
하,,,우리 독자 너무 예쁘고,,쏘 뷰티풀...작화팀 진짜 레전드다,,,액션씬 너무 맛깔나고ㅠ연출이랑 채색 그림체 표정 다 미쳤음,,	0
하 마지막컷 너무 이뻐서 계속 보러옴 돌음;; 친구시켜만 주세요	0
아니 몇 주만에왔더니 작가님 왜이렇게 작화가 갑자기 올라가셨어요??ㅠㅠ	0
병맛인데 주조연 순정만화 그림체라서 좋아요	0
...? 이렇게 연출할일이야??	0
야..와..쟤네들 링크야..싸우면서 링크야..캐릭터들 다 재밌다..소재 짱이다..작화 예쁘다..	0
기본기가 전부 되어있으니까 저렇게 그리실 수 있는거에요. 보시면 비율 딱딱맞고 깔끔함!	0
총 엄청 잘 그리시네	0
이건 남자가 봐도 반할 얼굴인데	0
숏컷 예쁜이는 누구야 너무 이뻐	0
근데 작가님 그림 진짜 잘 그리심	0
여자인줄 개이쁘네	0
하얀 머리칼,에메랄드 눈 이라 새로운 조합	0
묘하게 1화와 2와 첫부분 이후 웹툰의 작화가 조금 다른거 같은데 제 기분탓이겠죠...? 아마 처음에 1화 그리시고 나중에 다른 화들을 점점 그리시는거라 제가 다르게 느낀 것 같습니다... 음... 그렇다고요... 허허 너무 재밌습니다😘	0
뭐야 어릴때 여주 내취향으로 생겼네	0
아니 작화랑 연출이 지리는데 아무도 언급을 안하네	0
작화력은 아직 성장하지 않았지만후엔 멋져지겠지	0
그림이 너무 예쁘다	0
이사벨라 보다 아리아드네 훨씬 수수하고 청순하고 예쁨; 이사벨라는 너무 화려함	0
앞머리 없었으면 좋겠다 답답	0
작화 예술이고 캐릭터들도 마음에 든다	0
와 얼굴맛집	0
화면에서 빛이 난다	0
제가 방금 본 남자는 천사겠죠?그럴거예요 그쵸?	0
금발 벽안 미남wwww	0
원작 작가님 고증덕후 설정덕후에 의상도 꼼꼼하게 묘사하셨던데 자꾸 여자들 덥수룩한 앞머리 나오니까 몰입감 떨어져요..ㅜㅜ	0
작화 퀄리티가 ㅎㄷㄷㄷ	0
왜 여긴 표지 빼고 다 이뻐...?	0
근데 너무 퀄 좋은데요??????????	0
로판은 보통 화려한 로코코복식이 대부분이었는데 이번엔 완전 중세풍이라 신선하다	0
너무 캐릭이 모두 다 이쁨 주인공과 차별화가 안되서 아쉽네요	0
원작에서는 풋풋한 청년 너낌이었는데 여긴 아주 아이돌 느낌이네𝙅𝙤𝙣𝙣𝙖좋아	0
아니 조금만 움직여도 머리카락 옷 동작 연출이 너무 극적이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 로판 특인가...	0
아씨 작화 너무 예쁨	0
작가님이 이렇게 그림을 그리시는 이유는?	0
양판소 그림채가 아니라서 다행이네	0
근데 이거 작붕 왜캐 심함? 1화때랑 너무 다르네	0
와이건 진짜 예술이다 대박이다 그냥 좋다 와아아아ㅏㅏㅏㅏㅏㅏㅏ마지막장면들 너무좋다	0
와 진짜 작가가 바뀐건가 딱 저번화부터 연출이 옛날연출로 돌아갔는데 무슨일이지 ㅋㅋㅋ꙼̈ 말이안되는데 갑자기 싹바꼈네 옛날 느낌난다	0
그림만 본다	0
진짜 오랜만에 구경왔는데...그 예뻤던 엔도르시 얼굴이 왜 평면이 된거죠,,,?	0
막컷 보고 설렜다.	0
종종 다시 보러오는데 작화도 내용도 정말 이렇게 좋을수가 없다... 예쁘게 완결났으면 얼마나 좋았을까 싶고 생각할때마다 아쉽네	0
첫컷 보고 심쿵함	0
엑스트라가 왜이리 잘 생김?????	0
내가 전독시에서 좋아하는 장면 중 하나 크으으 유중혁 개멋있어	0
ㅁㅊ..시점변화 개쩐다	0
연출력 진짜	0
초반보다 작화가 안정된 느낌. 매주 수고하십니다	0
작화 달라진건 내 착각..?	0
오늘도 연출이 지리는군요	0
진짜 작화 미쳤다ㅠ 내 머리에 있는 걸 끄집어내서 그린 느낌.	0
지갑이 텅 빈자가 '이거 라도 가져가!' 라며 쿠키를 후원합니다. 아니 진짜 작가님 작화 미쳤어요 ㅠㅠ 진짜 보는데 소름이 쫙! 앞으로도 건강하시고 늦으셔도 괘찮으니까 어디 다치지만 마세요. 그럼이만☆	0
근데 그림체가 너무예뻐서 엑스트라들 캐디 미쳐서 저 눈물나여 아니 엑스트라한분한분 치이는ㄷ 어떡하죠ㅠㅠ	0
그림체보고 들어와봤다 손	0
허 그림채가 이정도인데 왜 인기가 없지?	0
첫환데도 퀄이 낮거나 그러지않네 대박임	0
